HtmlTitleEn;HtmlTitleDe;ThumbnailUrlEn;ThumbnailUrlDe;UrlEn;UrlDe;AltEn;AltDe;HtmlCreditsEn;HtmlCreditsDe
null;null;/images/gallery/tn/KerryShale001.jpeg;/images/gallery/tn/KerryShale001.jpeg;/images/gallery/KerryShale001.jpg;/images/gallery/KerryShale001.jpg;Kerry Shale;Kerry Shale;by the great Kerry Shale himself (Photo taken by Alan Howard);(TODO: Description is missing!)
null;null;/images/gallery/tn/KerryShale002.jpeg;/images/gallery/tn/KerryShale002.jpeg;/images/gallery/KerryShale002.jpg;/images/gallery/KerryShale002.jpg;Kerry Shale;Kerry Shale;by the great Kerry Shale himself (Photo taken by Alan Howard);(TODO: Description is missing!)
null;null;/images/gallery/tn/KerryShale003.jpeg;/images/gallery/tn/KerryShale003.jpeg;/images/gallery/KerryShale003.jpg;/images/gallery/KerryShale003.jpg;Kerry Shale;Kerry Shale;by the great Kerry Shale himself (Photo taken by Alan Howard);(TODO: Description is missing!)
null;null;/images/gallery/tn/KerryShale004.jpeg;/images/gallery/tn/KerryShale004.jpeg;/images/gallery/KerryShale004.jpg;/images/gallery/KerryShale004.jpg;Kerry Shale;Kerry Shale;by the great Kerry Shale himself, via Alchetron;(TODO: Description is missing!)
null;null;/images/gallery/tn/KerryShale005.jpeg;/images/gallery/tn/KerryShale005.jpeg;/images/gallery/KerryShale005.jpg;/images/gallery/KerryShale005.jpg;Kerry Shale;Kerry Shale;by the great Kerry Shale himself (Photo taken by Alan Howard);(TODO: Description is missing!)
null;null;/images/gallery/tn/KerryShale006.jpeg;/images/gallery/tn/KerryShale006.jpeg;/images/gallery/KerryShale006.jpg;/images/gallery/KerryShale006.jpg;Kerry Shale;Kerry Shale;Disappeared, Royal Court Theatre, by the great Kerry Shale himself;(TODO: Description is missing!)
null;null;/images/gallery/tn/KerryShale007.jpeg;/images/gallery/tn/KerryShale007.jpeg;/images/gallery/KerryShale007.jpg;/images/gallery/KerryShale007.jpg;Kerry Shale;Kerry Shale;Universal Soldier: Regeneration (2009);(TODO: Description is missing!)
null;null;/images/gallery/tn/KerryShale008.jpeg;/images/gallery/tn/KerryShale008.jpeg;/images/gallery/KerryShale008.jpg;/images/gallery/KerryShale008.jpg;Kerry Shale;Kerry Shale;by Salem's Lot by Stephen King;(TODO: Description is missing!)
null;null;/images/gallery/tn/KerryShale009.jpeg;/images/gallery/tn/KerryShale009.jpeg;/images/gallery/KerryShale009.jpg;/images/gallery/KerryShale009.jpg;Kerry Shale;Kerry Shale;ITV / Granada Television;(TODO: Description is missing!)
null;null;/images/gallery/tn/KerryShale010.jpeg;/images/gallery/tn/KerryShale010.jpeg;/images/gallery/KerryShale010.jpg;/images/gallery/KerryShale010.jpg;Kerry Shale;Kerry Shale;Incognito (2015);(TODO: Description is missing!)
null;null;/images/gallery/tn/KerryShale011.jpeg;/images/gallery/tn/KerryShale011.jpeg;/images/gallery/KerryShale011.jpg;/images/gallery/KerryShale011.jpg;Kerry Shale;Kerry Shale;by Roy Jones (1990);(TODO: Description is missing!)
null;null;/images/gallery/tn/KerryShale012.jpeg;/images/gallery/tn/KerryShale012.jpeg;/images/gallery/KerryShale012.jpg;/images/gallery/KerryShale012.jpg;Kerry Shale;Kerry Shale;by the great Kerry Shale himself;(TODO: Description is missing!)
null;null;/images/gallery/tn/KerryShale013.jpeg;/images/gallery/tn/KerryShale013.jpeg;/images/gallery/KerryShale013.jpg;/images/gallery/KerryShale013.jpg;Kerry Shale;Kerry Shale;by the great Kerry Shale himself (Photo taken by Alan Howard);(TODO: Description is missing!)
null;null;/images/gallery/tn/KerryShale014.jpeg;/images/gallery/tn/KerryShale014.jpeg;/images/gallery/KerryShale014.jpg;/images/gallery/KerryShale014.jpg;Kerry Shale;Kerry Shale;by Liam Daniel / Netflix (2022);(TODO: Description is missing!)
null;null;/images/gallery/tn/KerryShale015.jpeg;/images/gallery/tn/KerryShale015.jpeg;/images/gallery/KerryShale015.jpg;/images/gallery/KerryShale015.jpg;Kerry Shale;Kerry Shale;Yentl (1983);(TODO: Description is missing!)
null;null;/images/gallery/tn/KerryShale016.jpeg;/images/gallery/tn/KerryShale016.jpeg;/images/gallery/KerryShale016.jpg;/images/gallery/KerryShale016.jpg;Kerry Shale;Kerry Shale;by the great Kerry Shale himself (Photo taken by Alan Howard);(TODO: Description is missing!)
null;null;/images/gallery/tn/KerryShale017.jpeg;/images/gallery/tn/KerryShale017.jpeg;/images/gallery/KerryShale017.jpg;/images/gallery/KerryShale017.jpg;Kerry Shale;Kerry Shale;by the great Kerry Shale himself (Photo taken by Alan Howard);(TODO: Description is missing!)
null;null;/images/gallery/tn/KerryShale018.jpeg;/images/gallery/tn/KerryShale018.jpeg;/images/gallery/KerryShale018.jpg;/images/gallery/KerryShale018.jpg;Kerry Shale;Kerry Shale;The Observer, London, The Guardian Archive (11 Apr 1993);(TODO: Description is missing!)
null;null;/images/gallery/tn/KerryShale019.jpeg;/images/gallery/tn/KerryShale019.jpeg;/images/gallery/KerryShale019.jpg;/images/gallery/KerryShale019.jpg;Kerry Shale;Kerry Shale;via Rotten Tomatoes, via JW3?;(TODO: Description is missing!)
null;null;/images/gallery/tn/KerryShale020.jpeg;/images/gallery/tn/KerryShale020.jpeg;/images/gallery/KerryShale020.jpg;/images/gallery/KerryShale020.jpg;Kerry Shale;Kerry Shale;by Mark Allan;(TODO: Description is missing!)
null;null;/images/gallery/tn/KerryShale021.jpeg;/images/gallery/tn/KerryShale021.jpeg;/images/gallery/KerryShale021.jpg;/images/gallery/KerryShale021.jpg;Kerry Shale;Kerry Shale;(TODO: Description is missing!);(TODO: Description is missing!)
null;null;/images/gallery/tn/KerryShale022.jpeg;/images/gallery/tn/KerryShale022.jpeg;/images/gallery/KerryShale022.jpg;/images/gallery/KerryShale022.jpg;Kerry Shale;Kerry Shale;by the great Kerry Shale himself (Photo taken by Alan Howard);(TODO: Description is missing!)
null;null;/images/gallery/tn/KerryShale023.jpeg;/images/gallery/tn/KerryShale023.jpeg;/images/gallery/KerryShale023.jpg;/images/gallery/KerryShale023.jpg;Kerry Shale;Kerry Shale;(TODO: Description is missing!);(TODO: Description is missing!)
null;null;/images/gallery/tn/KerryShale024.jpeg;/images/gallery/tn/KerryShale024.jpeg;/images/gallery/KerryShale024.jpg;/images/gallery/KerryShale024.jpg;Kerry Shale;Kerry Shale;(TODO: Description is missing!);(TODO: Description is missing!)
null;null;/images/gallery/tn/KerryShale025.jpeg;/images/gallery/tn/KerryShale025.jpeg;/images/gallery/KerryShale025.jpg;/images/gallery/KerryShale025.jpg;Kerry Shale;Kerry Shale;(TODO: Description is missing!);(TODO: Description is missing!)
null;null;/images/gallery/tn/KerryShale026.jpeg;/images/gallery/tn/KerryShale026.jpeg;/images/gallery/KerryShale026.jpg;/images/gallery/KerryShale026.jpg;Kerry Shale;Kerry Shale;(TODO: Description is missing!);(TODO: Description is missing!)
null;null;/images/gallery/tn/KerryShale027.jpeg;/images/gallery/tn/KerryShale027.jpeg;/images/gallery/KerryShale027.jpg;/images/gallery/KerryShale027.jpg;Kerry Shale;Kerry Shale;(TODO: Description is missing!);(TODO: Description is missing!)
null;null;/images/gallery/tn/KerryShale028.jpeg;/images/gallery/tn/KerryShale028.jpeg;/images/gallery/KerryShale028.jpg;/images/gallery/KerryShale028.jpg;Kerry Shale;Kerry Shale;(TODO: Description is missing!);(TODO: Description is missing!)
null;null;/images/gallery/tn/KerryShale029.jpeg;/images/gallery/tn/KerryShale029.jpeg;/images/gallery/KerryShale029.jpg;/images/gallery/KerryShale029.jpg;Kerry Shale;Kerry Shale;(TODO: Description is missing!);(TODO: Description is missing!)
null;null;/images/gallery/tn/KerryShale030.jpeg;/images/gallery/tn/KerryShale030.jpeg;/images/gallery/KerryShale030.jpg;/images/gallery/KerryShale030.jpg;Kerry Shale;Kerry Shale;(TODO: Description is missing!);(TODO: Description is missing!)
null;null;/images/gallery/tn/KerryShale031.jpeg;/images/gallery/tn/KerryShale031.jpeg;/images/gallery/KerryShale031.jpg;/images/gallery/KerryShale031.jpg;Kerry Shale;Kerry Shale;(TODO: Description is missing!);(TODO: Description is missing!)
null;null;/images/gallery/tn/KerryShale032.jpeg;/images/gallery/tn/KerryShale032.jpeg;/images/gallery/KerryShale032.jpg;/images/gallery/KerryShale032.jpg;Kerry Shale;Kerry Shale;(TODO: Description is missing!);(TODO: Description is missing!)
null;null;/images/gallery/tn/KerryShale033.jpeg;/images/gallery/tn/KerryShale033.jpeg;/images/gallery/KerryShale033.jpg;/images/gallery/KerryShale033.jpg;Kerry Shale;Kerry Shale;(TODO: Description is missing!);(TODO: Description is missing!)
null;null;/images/gallery/tn/KerryShale034.jpeg;/images/gallery/tn/KerryShale034.jpeg;/images/gallery/KerryShale034.jpg;/images/gallery/KerryShale034.jpg;Kerry Shale;Kerry Shale;(TODO: Description is missing!);(TODO: Description is missing!)
null;null;/images/gallery/tn/KerryShale035.jpeg;/images/gallery/tn/KerryShale035.jpeg;/images/gallery/KerryShale035.jpg;/images/gallery/KerryShale035.jpg;Kerry Shale;Kerry Shale;(TODO: Description is missing!);(TODO: Description is missing!)
null;null;/images/gallery/tn/KerryShale036.jpeg;/images/gallery/tn/KerryShale036.jpeg;/images/gallery/KerryShale036.jpg;/images/gallery/KerryShale036.jpg;Kerry Shale;Kerry Shale;(TODO: Description is missing!);(TODO: Description is missing!)
null;null;/images/gallery/tn/KerryShale037.jpeg;/images/gallery/tn/KerryShale037.jpeg;/images/gallery/KerryShale037.jpg;/images/gallery/KerryShale037.jpg;Kerry Shale;Kerry Shale;(TODO: Description is missing!);(TODO: Description is missing!)
null;null;/images/gallery/tn/KerryShale038.jpeg;/images/gallery/tn/KerryShale038.jpeg;/images/gallery/KerryShale038.jpg;/images/gallery/KerryShale038.jpg;Kerry Shale;Kerry Shale;(TODO: Description is missing!);(TODO: Description is missing!)
